2022-05-20 17:38:50,156 ERROR   Thread-11 :45847 [internal_api.py:upload_file():1631] upload_file exception https://storage.googleapis.com/wandb-production.appspot.com/mlc-team/test_discrim/3ikra7lg/wandb-metadata.json?Expires=1653147529&GoogleAccessId=wandb-production%40appspot.gserviceaccount.com&Signature=g2bgq3MwBKd4rL9h%2B3DFk2eWc7C4VZLiYNAaQFQEoUyt6UXmKVj9oGYWR%2FqLR2CX3MnzphmINNSdSl%2ButpylbZmQO8BpsIKpVkGcqmq8YcnlEP4wfWUt6MjPrVXkFptyLurMVkYdGVIJmCG77BLUvb%2FtT1nMH5YNn0IrNcb11jFIpEOKBiYRB2RcYWpawNrXHBZVIGTxlcMjYfyNSZJgIdPBYe4z04rp3umFNsWXdHvMxFpl2JNEeSlPI4NetJ12mkxxya2V9kEq1gZewanudyHBXEfI8ssHG2LTmsmRXYY7hcNZsMWMkmgueDsRu6eA4eC2h2tPmWrl%2FVsImPClRQ%3D%3D: HTTPSConnectionPool(host='storage.googleapis.com', port=443): Max retries exceeded with url: /wandb-production.appspot.com/mlc-team/test_discrim/3ikra7lg/wandb-metadata.json?Expires=1653147529&GoogleAccessId=wandb-production%40appspot.gserviceaccount.com&Signature=g2bgq3MwBKd4rL9h%2B3DFk2eWc7C4VZLiYNAaQFQEoUyt6UXmKVj9oGYWR%2FqLR2CX3MnzphmINNSdSl%2ButpylbZmQO8BpsIKpVkGcqmq8YcnlEP4wfWUt6MjPrVXkFptyLurMVkYdGVIJmCG77BLUvb%2FtT1nMH5YNn0IrNcb11jFIpEOKBiYRB2RcYWpawNrXHBZVIGTxlcMjYfyNSZJgIdPBYe4z04rp3umFNsWXdHvMxFpl2JNEeSlPI4NetJ12mkxxya2V9kEq1gZewanudyHBXEfI8ssHG2LTmsmRXYY7hcNZsMWMkmgueDsRu6eA4eC2h2tPmWrl%2FVsImPClRQ%3D%3D (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2da8151310>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2022-05-20 17:38:50,157 ERROR   Thread-11 :45847 [internal_api.py:upload_file():1633] upload_file request headers: {'User-Agent': 'python-requests/2.25.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '775'}
2022-05-20 17:38:50,157 ERROR   Thread-11 :45847 [internal_api.py:upload_file():1635] upload_file response body: 
2022-05-20 17:38:50,843 INFO    Thread-7  :45847 [dir_watcher.py:_on_file_modified():230] file/dir modified: /home/lechapelier/Documents/StageM2/Internship-Ethical-MORL/moral_rl/wandb/run-20220520_173846-3ikra7lg/files/output.log
2022-05-20 17:38:51,450 DEBUG   HandlerThread:45847 [handler.py:handle_request():141] handle_request: poll_exit
2022-05-20 17:38:51,450 DEBUG   SenderThread:45847 [sender.py:send():235] send: exit
2022-05-20 17:38:51,451 INFO    SenderThread:45847 [sender.py:send_exit():371] handling exit code: 1
2022-05-20 17:38:51,451 INFO    SenderThread:45847 [sender.py:send_exit():373] handling runtime: 2
2022-05-20 17:38:51,453 INFO    SenderThread:45847 [sender.py:_save_file():947] saving file wandb-summary.json with policy end
2022-05-20 17:38:51,453 INFO    SenderThread:45847 [sender.py:send_exit():379] send defer
2022-05-20 17:38:51,454 DEBUG   SenderThread:45847 [sender.py:send_request():249] send_request: poll_exit
2022-05-20 17:38:51,454 DEBUG   HandlerThread:45847 [handler.py:handle_request():141] handle_request: defer
2022-05-20 17:38:51,454 INFO    HandlerThread:45847 [handler.py:handle_request_defer():164] handle defer: 0
2022-05-20 17:38:51,454 DEBUG   SenderThread:45847 [sender.py:send_request():249] send_request: defer
2022-05-20 17:38:51,454 INFO    SenderThread:45847 [sender.py:send_request_defer():388] handle sender defer: 0
2022-05-20 17:38:51,455 INFO    SenderThread:45847 [sender.py:transition_state():392] send defer: 1
2022-05-20 17:38:51,455 DEBUG   HandlerThread:45847 [handler.py:handle_request():141] handle_request: defer
2022-05-20 17:38:51,455 INFO    HandlerThread:45847 [handler.py:handle_request_defer():164] handle defer: 1
2022-05-20 17:38:51,509 DEBUG   SenderThread:45847 [sender.py:send_request():249] send_request: defer
2022-05-20 17:38:51,509 INFO    SenderThread:45847 [sender.py:send_request_defer():388] handle sender defer: 1
2022-05-20 17:38:51,509 INFO    SenderThread:45847 [sender.py:transition_state():392] send defer: 2
2022-05-20 17:38:51,509 DEBUG   SenderThread:45847 [sender.py:send():235] send: stats
2022-05-20 17:38:51,510 DEBUG   HandlerThread:45847 [handler.py:handle_request():141] handle_request: defer
2022-05-20 17:38:51,510 INFO    HandlerThread:45847 [handler.py:handle_request_defer():164] handle defer: 2
2022-05-20 17:38:51,510 DEBUG   SenderThread:45847 [sender.py:send_request():249] send_request: defer
2022-05-20 17:38:51,510 INFO    SenderThread:45847 [sender.py:send_request_defer():388] handle sender defer: 2
2022-05-20 17:38:51,510 INFO    SenderThread:45847 [sender.py:transition_state():392] send defer: 3
2022-05-20 17:38:51,510 DEBUG   HandlerThread:45847 [handler.py:handle_request():141] handle_request: defer
2022-05-20 17:38:51,510 INFO    HandlerThread:45847 [handler.py:handle_request_defer():164] handle defer: 3
2022-05-20 17:38:51,511 DEBUG   SenderThread:45847 [sender.py:send_request():249] send_request: defer
2022-05-20 17:38:51,511 INFO    SenderThread:45847 [sender.py:send_request_defer():388] handle sender defer: 3
2022-05-20 17:38:51,511 INFO    SenderThread:45847 [sender.py:transition_state():392] send defer: 4
2022-05-20 17:38:51,511 DEBUG   HandlerThread:45847 [handler.py:handle_request():141] handle_request: defer
2022-05-20 17:38:51,511 INFO    HandlerThread:45847 [handler.py:handle_request_defer():164] handle defer: 4
2022-05-20 17:38:51,511 DEBUG   SenderThread:45847 [sender.py:send():235] send: summary
2022-05-20 17:38:51,513 INFO    SenderThread:45847 [sender.py:_save_file():947] saving file wandb-summary.json with policy end
2022-05-20 17:38:51,513 DEBUG   SenderThread:45847 [sender.py:send_request():249] send_request: defer
